BOL_Number,Carrier,Forwarder,Customer,Commodity,Container_Type,Num_Containers,POL,POD,Incoterms,ETD,ETA,Actual_Arrival,Transit_Days,Delay_Days,On_Time_Delivery,Delay_Reason,Freight_Rate_USD,Total_Freight_USD,Cargo_Weight_KG,Cargo_Value_USD,Shipment_Status
BOL000359,ZIM,Nippon Express,Groupe Touchette,Auto Parts,40HC,1,Shanghai,Halifax,CIF,2022-09-27,2022-10-23,2022-10-23,26,0,Yes,None,2496.98,2496.98,24674.45,276315.57,Delivered
BOL000360,Maersk,Panalpina,Canadian Tire,Furniture,20RF,1,Colombo,New York,CIF,2024-07-18,2024-08-27,2024-08-27,40,0,Yes,None,1705.44,1705.44,17588.86,313685.36,Delivered
BOL000361,CMA CGM,DB Schenker,Aldo Group,Machinery,20RF,10,Rotterdam,Los Angeles,CFR,2022-03-17,2022-04-09,2022-04-09,23,0,Yes,None,1904.23,19042.3,261688.48,34025.37,Delivered
BOL000362,MSC,Kuehne+Nagel,Loblaw Companies,Machinery,40HC,6,Rotterdam,Montreal,DAP,2024-07-21,2024-08-27,2024-08-27,37,0,Yes,None,2163.71,12982.26,82293.63,43156.67,Delivered
BOL000363,ZIM,Sinotrans,Empire Company,Steel Products,40GP,4,Colombo,Vancouver,DDP,2023-07-17,2023-08-21,2023-08-21,35,0,Yes,None,3064.6,12258.4,30055.81,367566.97,Delivered
BOL000364,CMA CGM,Expeditors,Empire Company,Steel Products,20RF,6,Hamburg,Seattle,CIF,2023-10-11,2023-11-10,2023-11-10,30,0,Yes,None,4230.29,25381.74,114772.02,253234.49,Delivered
BOL000365,COSCO,DSV,Costco Canada,Auto Parts,20GP,4,Hong Kong,Houston,FOB,2022-01-04,2022-01-25,2022-01-25,21,0,Yes,None,3758.39,15033.56,111906.8,212880.16,Delivered
BOL000366,HMM,Panalpina,Costco Canada,Electronics,20RF,6,Rotterdam,Halifax,CIF,2023-06-06,2023-06-24,2023-06-24,18,0,Yes,None,3638.02,21828.12,45709.47,173308.62,Delivered
BOL000367,ZIM,DSV,Canadian Tire,Food Products,20GP,3,Colombo,Houston,DDP,2023-11-24,2024-01-07,2024-01-07,44,0,Yes,None,2581.53,7744.59,58276.83,447108.58,Delivered
BOL000368,COSCO,Sinotrans,Aldo Group,Furniture,40HC,6,Hong Kong,Miami,CFR,2023-10-09,2023-10-24,2023-10-24,15,0,Yes,None,1044.99,6269.94,50604.08,421962.19,Delivered
BOL000369,ZIM,DSV,Metro Inc,Machinery,40HC,6,Busan,Houston,CIF,2023-01-19,2023-02-09,2023-02-09,21,0,Yes,None,3426.41,20558.46,67466.64,52530.91,Delivered
BOL000370,Evergreen,DSV,Metro Inc,Chemicals,40GP,2,Colombo,Los Angeles,DAP,2022-12-25,2023-01-15,2023-01-15,21,0,Yes,None,2441.96,4883.92,11147.0,246504.96,Delivered
BOL000371,Maersk,Kuehne+Nagel,Aldo Group,Machinery,20RF,3,Colombo,Vancouver,FOB,2023-11-02,2023-11-25,2023-11-25,23,0,Yes,None,1559.19,4677.57,17522.13,199918.23,Delivered
BOL000372,Evergreen,Panalpina,Loblaws,Auto Parts,20RF,5,Busan,Houston,EXW,2023-11-14,2023-12-27,2023-12-27,43,0,Yes,None,883.18,4415.9,112226.79,323036.92,Delivered
BOL000373,ONE,DB Schenker,Loblaws,Textiles,40HC,2,Busan,Montreal,EXW,2024-06-22,2024-07-13,2024-07-13,21,0,Yes,None,856.45,1712.9,38655.47,261889.72,Delivered
BOL000374,Yang Ming,Sinotrans,Indigo Books,Electronics,20RF,6,Shanghai,Vancouver,FOB,2023-08-04,2023-09-02,2023-09-02,29,0,Yes,None,2800.14,16800.84,37000.21,24206.42,Delivered
BOL000375,CMA CGM,Kuehne+Nagel,Giant Tiger,Apparel,40HC,4,Hamburg,Halifax,DDP,2023-01-02,2023-02-13,2023-02-13,42,0,Yes,None,3437.73,13750.92,81720.06,271407.62,Delivered
BOL000376,ONE,Panalpina,Shoppers Drug Mart,Food Products,45HC,8,Kaohsiung,Chicago,CIF,2024-07-22,2024-08-24,2024-08-24,33,0,Yes,None,1657.27,13258.16,81178.18,431937.18,Delivered
BOL000377,HMM,Sinotrans,Best Buy Canada,Furniture,20GP,6,Hong Kong,Halifax,CFR,2024-07-17,2024-08-31,2024-08-31,45,0,Yes,None,2571.01,15426.06,146715.74,148306.11,Delivered
BOL000378,CMA CGM,Panalpina,Home Depot Canada,Toys,40HC,9,Busan,Montreal,DAP,2022-08-08,2022-09-11,2022-09-11,34,0,Yes,None,2505.61,22550.49,167240.94,126901.89,Delivered
BOL000379,MSC,Panalpina,Giant Tiger,Steel Products,40HC,9,Kaohsiung,Seattle,CFR,2023-03-03,2023-04-13,2023-04-26,41,13,No,Documentation Error,3368.29,30314.61,80828.69,338106.55,Delayed
BOL000380,ZIM,DB Schenker,Costco Canada,Electronics,45HC,2,Rotterdam,Houston,FOB,2022-07-19,2022-08-30,2022-08-30,42,0,Yes,None,3013.56,6027.12,41533.4,302238.65,Delivered
BOL000381,HMM,Kuehne+Nagel,Mountain Equipment,Machinery,20RF,5,Hong Kong,Chicago,DAP,2022-01-01,2022-01-24,2022-01-24,23,0,Yes,None,2242.94,11214.7,91462.11,105876.64,Delivered
BOL000382,MSC,Sinotrans,IKEA Canada,Machinery,40HC,1,Colombo,Houston,FOB,2022-01-17,2022-02-25,2022-02-25,39,0,Yes,None,2166.12,2166.12,17624.36,36032.38,Delivered
BOL000383,Yang Ming,DSV,Loblaw Companies,Chemicals,45HC,7,Busan,Montreal,DAP,2024-03-18,2024-04-21,2024-04-21,34,0,Yes,None,2816.94,19718.58,141660.5,242686.99,Delivered
BOL000384,CMA CGM,Sinotrans,Aldo Group,Food Products,20GP,3,Ningbo,Vancouver,DAP,2022-09-15,2022-10-07,2022-10-07,22,0,Yes,None,3468.96,10406.88,48582.39,224000.21,Delivered
BOL000385,Evergreen,Panalpina,Indigo Books,Textiles,45HC,7,Kaohsiung,Seattle,EXW,2023-01-04,2023-02-16,2023-02-16,43,0,Yes,None,2114.64,14802.48,64912.36,306240.9,Delivered
BOL000386,ZIM,Kuehne+Nagel,Metro Inc,Textiles,40HC,2,Colombo,Chicago,FOB,2022-03-10,2022-03-26,2022-03-26,16,0,Yes,None,2946.99,5893.98,54239.94,49230.92,Delivered
BOL000387,ONE,Nippon Express,Sobeys,Textiles,40RF,2,Kaohsiung,Toronto,FOB,2023-05-18,2023-07-01,2023-07-01,44,0,Yes,None,3331.07,6662.14,34803.07,294017.94,Delivered
BOL000388,Hapag-Lloyd,Nippon Express,Canadian Tire,Steel Products,45HC,6,Shanghai,Halifax,EXW,2024-11-15,2024-12-29,2024-12-29,44,0,Yes,None,4354.15,26124.9,140154.8,151712.14,Delivered
BOL000389,CMA CGM,DSV,Loblaws,Steel Products,20GP,5,Singapore,Chicago,EXW,2022-12-13,2022-12-30,2023-01-10,17,11,No,Documentation Error,2593.61,12968.05,39584.45,47662.51,Delayed
BOL000390,CMA CGM,Kuehne+Nagel,Shoppers Drug Mart,Textiles,20RF,3,Busan,Seattle,FOB,2022-01-30,2022-02-20,2022-02-20,21,0,Yes,None,3238.88,9716.64,40513.91,95945.69,Delivered
BOL000391,ONE,Kuehne+Nagel,Loblaws,Electronics,45HC,7,Busan,Halifax,DDP,2022-10-25,2022-11-17,2022-11-17,23,0,Yes,None,1680.41,11762.87,105869.79,322411.59,Delivered
BOL000392,ZIM,Sinotrans,Metro Inc,Machinery,40HC,8,Rotterdam,Miami,CIF,2022-04-18,2022-05-12,2022-05-12,24,0,Yes,None,3560.76,28486.08,178446.72,270935.21,Delivered
BOL000393,Yang Ming,Panalpina,Loblaws,Steel Products,45HC,6,Colombo,Houston,DDP,2022-01-25,2022-02-26,2022-02-26,32,0,Yes,None,4358.52,26151.12,124236.93,30098.63,Delivered
BOL000394,COSCO,Panalpina,Hudson Bay,Chemicals,40RF,10,Kaohsiung,New York,DDP,2023-07-08,2023-08-08,2023-08-08,31,0,Yes,None,2247.27,22472.7,227824.73,377054.55,Delivered
BOL000395,Evergreen,Kuehne+Nagel,Aldo Group,Electronics,45HC,2,Singapore,Chicago,FOB,2022-01-22,2022-02-05,2022-02-05,14,0,Yes,None,2743.48,5486.96,41532.98,182243.05,Delivered
BOL000396,MSC,Nippon Express,Empire Company,Furniture,40RF,2,Kaohsiung,Los Angeles,EXW,2022-04-27,2022-05-24,2022-05-24,27,0,Yes,None,1119.63,2239.26,37815.55,194219.64,Delivered
BOL000397,Yang Ming,DSV,Loblaws,Chemicals,40RF,6,Shanghai,Miami,FOB,2022-06-05,2022-07-18,2022-08-02,43,15,No,Equipment Shortage,1752.15,10512.9,137740.92,145870.87,Delayed
BOL000398,Evergreen,Nippon Express,Best Buy Canada,Steel Products,40GP,10,Colombo,Miami,DDP,2022-12-31,2023-02-11,2023-02-11,42,0,Yes,None,2252.75,22527.5,198461.13,63130.93,Delivered
BOL000399,Yang Ming,Sinotrans,Shoppers Drug Mart,Machinery,20RF,5,Shanghai,Toronto,CIF,2023-06-15,2023-07-05,2023-07-05,20,0,Yes,None,3675.78,18378.9,27157.95,253873.68,Delivered
BOL000400,HMM,DSV,Shoppers Drug Mart,Textiles,40RF,2,Hamburg,Vancouver,EXW,2022-01-08,2022-02-22,2022-02-22,45,0,Yes,None,2798.48,5596.96,10152.14,477536.12,Delivered
BOL000401,CMA CGM,Expeditors,Sport Chek,Textiles,40HC,9,Singapore,New York,FOB,2024-03-31,2024-04-17,2024-04-28,17,11,No,Port Congestion,3957.37,35616.33,115393.0,422178.98,Delayed
BOL000402,Maersk,Expeditors,Groupe Touchette,Auto Parts,40RF,6,Busan,Los Angeles,FOB,2023-09-05,2023-10-13,2023-10-13,38,0,Yes,None,2600.06,15600.36,152159.55,224612.04,Delivered
BOL000403,ONE,Sinotrans,Canadian Tire,Electronics,40RF,5,Shanghai,Toronto,EXW,2024-09-28,2024-11-05,2024-11-05,38,0,Yes,None,2648.83,13244.15,135969.69,407771.26,Delivered
BOL000404,MSC,Nippon Express,Loblaw Companies,Electronics,20RF,8,Kaohsiung,New York,DDP,2022-08-31,2022-09-27,2022-09-27,27,0,Yes,None,4278.33,34226.64,200116.81,272915.08,Delivered
BOL000405,HMM,Kuehne+Nagel,Home Depot Canada,Furniture,40GP,3,Shenzhen,Seattle,CFR,2022-02-09,2022-03-25,2022-04-09,44,15,No,Port Congestion,853.15,2559.45,58653.64,453284.55,Delayed
BOL000406,MSC,Panalpina,Loblaw Companies,Steel Products,40GP,2,Rotterdam,Houston,CFR,2022-08-22,2022-10-06,2022-10-06,45,0,Yes,None,3776.48,7552.96,29605.73,407645.3,Delivered
BOL000407,CMA CGM,CEVA Logistics,Groupe Touchette,Toys,20GP,2,Hong Kong,Montreal,CIF,2023-03-13,2023-03-29,2023-03-29,16,0,Yes,None,1813.41,3626.82,44847.3,92344.92,Delivered
BOL000408,CMA CGM,DSV,Groupe Touchette,Apparel,20RF,7,Shanghai,Toronto,DDP,2022-10-01,2022-10-21,2022-10-21,20,0,Yes,None,3677.35,25741.45,37516.48,248614.06,Delivered
BOL000409,HMM,Kuehne+Nagel,Sobeys,Furniture,40GP,5,Kaohsiung,Toronto,DDP,2024-05-02,2024-06-15,2024-06-15,44,0,Yes,None,2735.42,13677.1,72383.6,469663.91,Delivered
BOL000410,COSCO,DSV,Costco Canada,Auto Parts,40GP,4,Hong Kong,Montreal,DAP,2023-09-09,2023-10-15,2023-10-15,36,0,Yes,None,1234.78,4939.12,68778.31,56885.09,Delivered
BOL000411,Hapag-Lloyd,Panalpina,Loblaws,Auto Parts,40RF,8,Shanghai,Houston,DAP,2022-04-19,2022-05-15,2022-05-15,26,0,Yes,None,2640.8,21126.4,69395.77,462109.79,Delivered
BOL000412,ZIM,Sinotrans,Shoppers Drug Mart,Steel Products,20RF,3,Shenzhen,New York,CFR,2024-07-17,2024-08-02,2024-08-02,16,0,Yes,None,1384.77,4154.31,17005.5,262302.82,Delivered
BOL000413,MSC,CEVA Logistics,Sobeys,Toys,40HC,4,Rotterdam,New York,CFR,2023-02-12,2023-03-18,2023-03-18,34,0,Yes,None,1162.84,4651.36,87872.8,436244.29,Delivered
BOL000414,Evergreen,CEVA Logistics,Canadian Tire,Chemicals,40GP,7,Hong Kong,Chicago,CIF,2024-06-11,2024-07-04,2024-07-08,23,4,No,Equipment Shortage,2181.89,15273.23,108696.17,105135.91,Delivered
BOL000415,HMM,Expeditors,Reitmans,Furniture,45HC,7,Kaohsiung,Los Angeles,CFR,2023-07-29,2023-08-20,2023-08-20,22,0,Yes,None,1433.44,10034.08,90315.74,444340.4,Delivered
BOL000416,Evergreen,Expeditors,Groupe Touchette,Chemicals,40GP,10,Rotterdam,New York,DAP,2022-06-27,2022-08-06,2022-08-06,40,0,Yes,None,2551.91,25519.1,156435.47,17106.89,Delivered
BOL000417,ZIM,CEVA Logistics,Reitmans,Auto Parts,45HC,9,Shenzhen,Seattle,FOB,2022-11-02,2022-11-16,2022-11-23,14,7,No,Port Congestion,924.4,8319.6,154942.2,244841.98,Delayed
BOL000418,HMM,DB Schenker,Giant Tiger,Electronics,40GP,2,Hamburg,Halifax,DAP,2024-04-12,2024-05-09,2024-05-09,27,0,Yes,None,858.94,1717.88,40775.64,89283.39,Delivered
BOL000419,COSCO,DSV,Indigo Books,Electronics,40RF,8,Rotterdam,Houston,EXW,2024-04-10,2024-05-05,2024-05-05,25,0,Yes,None,3404.44,27235.52,40250.91,317379.46,Delivered
BOL000420,Yang Ming,CEVA Logistics,Aldo Group,Chemicals,40RF,1,Shanghai,Vancouver,DAP,2023-03-01,2023-03-20,2023-03-20,19,0,Yes,None,2704.52,2704.52,25930.09,188355.36,Delivered
BOL000421,COSCO,Expeditors,Sobeys,Apparel,40RF,2,Hong Kong,New York,DDP,2024-01-19,2024-02-25,2024-02-25,37,0,Yes,None,2874.81,5749.62,45584.47,77818.85,Delivered
BOL000422,COSCO,DSV,Reitmans,Apparel,20RF,7,Hamburg,Montreal,DAP,2023-04-07,2023-05-11,2023-05-11,34,0,Yes,None,1825.44,12778.08,45202.44,179161.03,Delivered
BOL000423,Hapag-Lloyd,DSV,Hudson Bay,Apparel,40RF,2,Rotterdam,Los Angeles,FOB,2024-07-14,2024-08-20,2024-08-20,37,0,Yes,None,1496.91,2993.82,50663.03,52781.29,Delivered
BOL000424,ZIM,CEVA Logistics,Giant Tiger,Chemicals,40GP,9,Colombo,Los Angeles,DAP,2022-08-18,2022-09-10,2022-09-10,23,0,Yes,None,4322.79,38905.11,49696.89,214102.96,Delivered
BOL000425,HMM,Nippon Express,Giant Tiger,Textiles,40GP,9,Hong Kong,Seattle,CFR,2023-08-21,2023-09-16,2023-09-16,26,0,Yes,None,3185.29,28667.61,130220.19,177968.31,Delivered
BOL000426,ONE,DB Schenker,Hudson Bay,Machinery,40GP,5,Shanghai,Los Angeles,DAP,2023-09-15,2023-10-07,2023-10-07,22,0,Yes,None,1639.09,8195.45,67768.77,151191.68,Delivered
BOL000427,ZIM,Expeditors,Hudson Bay,Machinery,40RF,3,Kaohsiung,Los Angeles,EXW,2023-08-08,2023-09-02,2023-09-02,25,0,Yes,None,1396.64,4189.92,23067.3,496948.79,Delivered
BOL000428,ZIM,DB Schenker,Shoppers Drug Mart,Furniture,45HC,9,Shanghai,Miami,DAP,2022-03-13,2022-04-16,2022-04-16,34,0,Yes,None,4409.22,39682.98,155464.09,69530.11,Delivered
BOL000429,ZIM,Nippon Express,Best Buy Canada,Chemicals,45HC,5,Ningbo,Halifax,DDP,2022-01-09,2022-02-13,2022-02-13,35,0,Yes,None,4387.54,21937.7,111728.59,497092.21,Delivered
BOL000430,Maersk,Expeditors,Costco Canada,Steel Products,40HC,1,Shenzhen,Houston,DDP,2022-03-24,2022-04-15,2022-04-15,22,0,Yes,None,2286.03,2286.03,24340.17,228526.62,Delivered
BOL000431,COSCO,Sinotrans,Mountain Equipment,Electronics,45HC,2,Kaohsiung,Halifax,DDP,2023-07-24,2023-08-19,2023-08-19,26,0,Yes,None,4410.61,8821.22,28143.49,250328.03,Delivered
BOL000432,Evergreen,Nippon Express,Indigo Books,Toys,20GP,5,Colombo,Vancouver,DDP,2022-10-30,2022-12-10,2022-12-10,41,0,Yes,None,2076.2,10381.0,60429.81,228332.26,Delivered
BOL000433,ZIM,Sinotrans,Home Depot Canada,Textiles,45HC,7,Busan,Chicago,EXW,2023-08-15,2023-09-08,2023-09-08,24,0,Yes,None,1316.4,9214.8,129535.99,52178.21,Delivered
BOL000434,CMA CGM,Nippon Express,Reitmans,Food Products,40HC,7,Ningbo,New York,EXW,2022-07-01,2022-07-15,2022-07-15,14,0,Yes,None,1447.1,10129.7,109401.31,288279.0,Delivered
BOL000435,Hapag-Lloyd,Sinotrans,Empire Company,Toys,45HC,9,Ningbo,Chicago,FOB,2022-03-28,2022-04-30,2022-04-30,33,0,Yes,None,3537.47,31837.23,91475.69,397697.58,Delivered
BOL000436,ONE,Sinotrans,Groupe Touchette,Steel Products,40GP,1,Shenzhen,Halifax,DAP,2023-01-03,2023-02-17,2023-02-17,45,0,Yes,None,1241.61,1241.61,11375.99,497223.15,Delivered
BOL000437,CMA CGM,Panalpina,Loblaw Companies,Chemicals,40HC,9,Kaohsiung,Toronto,DAP,2023-06-13,2023-07-27,2023-07-27,44,0,Yes,None,3511.94,31607.46,48631.83,137173.22,Delivered
BOL000438,Evergreen,DB Schenker,Aldo Group,Furniture,40RF,6,Shenzhen,Montreal,FOB,2022-12-01,2022-12-18,2022-12-18,17,0,Yes,None,980.25,5881.5,70249.65,323083.8,Delivered
BOL000439,CMA CGM,DSV,Metro Inc,Electronics,40HC,5,Kaohsiung,Houston,CIF,2023-10-23,2023-11-26,2023-11-26,34,0,Yes,None,3336.14,16680.7,104159.86,56958.37,Delivered
BOL000440,COSCO,Kuehne+Nagel,Reitmans,Textiles,40GP,2,Colombo,Halifax,DDP,2024-02-03,2024-03-19,2024-03-19,45,0,Yes,None,1606.14,3212.28,33155.61,417471.04,Delivered
BOL000441,COSCO,CEVA Logistics,Empire Company,Chemicals,40GP,1,Hamburg,Halifax,CIF,2024-05-04,2024-06-16,2024-06-16,43,0,Yes,None,2574.22,2574.22,12166.19,187658.6,Delivered
BOL000442,MSC,CEVA Logistics,Indigo Books,Electronics,40GP,4,Rotterdam,Vancouver,DAP,2022-08-31,2022-09-28,2022-09-28,28,0,Yes,None,1937.48,7749.92,39305.37,490743.69,Delivered
BOL000443,Maersk,Expeditors,Aldo Group,Apparel,20RF,10,Shenzhen,Chicago,FOB,2023-02-07,2023-02-27,2023-02-27,20,0,Yes,None,1019.28,10192.8,77352.11,133976.11,Delivered
BOL000444,CMA CGM,Expeditors,Aldo Group,Textiles,20GP,3,Hong Kong,Houston,DDP,2023-02-14,2023-03-11,2023-03-11,25,0,Yes,None,3929.69,11789.07,79987.3,474907.89,Delivered
BOL000445,MSC,Panalpina,Sobeys,Auto Parts,20GP,9,Colombo,Toronto,CFR,2024-10-31,2024-11-18,2024-11-18,18,0,Yes,None,1602.89,14426.01,84650.34,148109.83,Delivered
BOL000446,ZIM,Nippon Express,Loblaw Companies,Apparel,40HC,7,Hong Kong,Vancouver,CFR,2023-01-15,2023-02-26,2023-03-09,42,11,No,Customs Inspection,2369.14,16583.98,117794.41,209713.21,Delayed
BOL000447,Evergreen,Sinotrans,Empire Company,Textiles,20GP,6,Singapore,Seattle,DAP,2024-01-10,2024-02-11,2024-02-11,32,0,Yes,None,2626.74,15760.44,83099.79,233903.43,Delivered
BOL000448,ZIM,Kuehne+Nagel,Home Depot Canada,Textiles,45HC,6,Shenzhen,Miami,DDP,2023-01-22,2023-02-09,2023-02-09,18,0,Yes,None,1463.4,8780.4,167823.82,250907.7,Delivered
BOL000449,MSC,DSV,Sobeys,Auto Parts,20GP,3,Kaohsiung,Miami,DAP,2022-10-21,2022-11-29,2022-11-29,39,0,Yes,None,1039.43,3118.29,82289.32,175929.51,Delivered
BOL000450,MSC,Expeditors,Sobeys,Machinery,20RF,7,Hamburg,Vancouver,DAP,2023-07-14,2023-08-22,2023-08-22,39,0,Yes,None,4453.84,31176.88,117337.74,82213.31,Delivered
BOL000451,Hapag-Lloyd,Kuehne+Nagel,Best Buy Canada,Steel Products,20GP,8,Hong Kong,Los Angeles,CFR,2022-10-03,2022-10-18,2022-10-18,15,0,Yes,None,3309.0,26472.0,218861.35,197490.16,Delivered
BOL000452,Maersk,Sinotrans,Best Buy Canada,Electronics,40HC,8,Colombo,Montreal,DAP,2024-11-30,2025-01-14,2025-01-14,45,0,Yes,None,2613.93,20911.44,88146.41,178371.67,In Transit
BOL000453,ZIM,Sinotrans,Empire Company,Food Products,45HC,1,Singapore,Los Angeles,CIF,2024-07-10,2024-08-13,2024-08-13,34,0,Yes,None,921.58,921.58,17803.33,431576.74,Delivered
BOL000454,Maersk,Sinotrans,Sobeys,Food Products,40RF,9,Ningbo,Montreal,EXW,2024-09-25,2024-10-16,2024-10-16,21,0,Yes,None,3335.88,30022.92,163447.52,243196.42,Delivered
BOL000455,ONE,Panalpina,Indigo Books,Food Products,20RF,1,Kaohsiung,Toronto,FOB,2023-12-24,2024-01-25,2024-01-25,32,0,Yes,None,1274.33,1274.33,13427.43,406681.18,Delivered
BOL000456,MSC,Panalpina,Walmart Canada,Chemicals,40GP,4,Shenzhen,Chicago,CIF,2024-01-02,2024-02-11,2024-02-11,40,0,Yes,None,1668.1,6672.4,48713.16,51621.45,Delivered
BOL000457,ONE,Panalpina,Sport Chek,Food Products,20RF,9,Kaohsiung,Toronto,CFR,2022-03-18,2022-04-30,2022-04-30,43,0,Yes,None,4135.22,37216.98,100190.11,351019.65,Delivered
BOL000458,Hapag-Lloyd,Nippon Express,Costco Canada,Chemicals,40GP,6,Ningbo,Halifax,DAP,2022-07-20,2022-09-03,2022-09-03,45,0,Yes,None,2637.91,15827.46,141981.09,337019.9,Delivered
BOL000459,MSC,Kuehne+Nagel,Loblaws,Steel Products,40HC,10,Shenzhen,Halifax,EXW,2022-06-04,2022-07-01,2022-07-01,27,0,Yes,None,2287.5,22875.0,101953.77,374015.13,Delivered
BOL000460,Yang Ming,Nippon Express,Aldo Group,Food Products,20GP,5,Hong Kong,New York,EXW,2024-12-23,2025-02-05,2025-02-05,44,0,Yes,None,2667.17,13335.85,59489.54,335093.78,In Transit
BOL000461,COSCO,CEVA Logistics,Groupe Touchette,Steel Products,40GP,10,Hamburg,Chicago,DAP,2023-01-05,2023-01-20,2023-01-20,15,0,Yes,None,2647.05,26470.5,201985.43,413714.92,Delivered
BOL000462,MSC,DSV,Loblaws,Auto Parts,40GP,3,Rotterdam,Houston,DAP,2024-12-05,2024-12-31,2024-12-31,26,0,Yes,None,3561.8,10685.4,67821.58,423619.78,Delivered
BOL000463,ZIM,CEVA Logistics,Indigo Books,Textiles,45HC,4,Singapore,Seattle,DAP,2022-11-25,2022-12-25,2022-12-25,30,0,Yes,None,1220.17,4880.68,37656.27,130337.44,Delivered
BOL000464,Maersk,DSV,Aldo Group,Apparel,40HC,5,Hamburg,Toronto,EXW,2023-02-18,2023-03-14,2023-03-14,24,0,Yes,None,3237.08,16185.4,45238.3,427735.3,Delivered
BOL000465,HMM,DSV,Metro Inc,Textiles,40RF,2,Busan,Vancouver,FOB,2022-05-11,2022-06-20,2022-06-20,40,0,Yes,None,2268.51,4537.02,48631.28,422947.63,Delivered
BOL000466,Evergreen,Expeditors,Hudson Bay,Furniture,40HC,6,Busan,Miami,FOB,2024-10-13,2024-11-01,2024-11-01,19,0,Yes,None,3879.64,23277.84,131738.62,404862.39,Delivered
BOL000467,Yang Ming,DSV,IKEA Canada,Toys,20RF,1,Hong Kong,Montreal,DDP,2023-07-17,2023-08-28,2023-08-28,42,0,Yes,None,2614.33,2614.33,13618.21,474868.34,Delivered
BOL000468,Hapag-Lloyd,Panalpina,Empire Company,Textiles,40HC,1,Shanghai,New York,DAP,2022-10-24,2022-11-30,2022-11-30,37,0,Yes,None,3187.97,3187.97,25820.28,27056.62,Delivered
BOL000469,Evergreen,Sinotrans,Shoppers Drug Mart,Furniture,20GP,7,Busan,Chicago,DAP,2022-09-07,2022-10-06,2022-10-06,29,0,Yes,None,4231.78,29622.46,182786.2,157435.19,Delivered
BOL000470,CMA CGM,Panalpina,Home Depot Canada,Machinery,45HC,8,Rotterdam,Vancouver,CFR,2022-03-11,2022-04-11,2022-04-11,31,0,Yes,None,3526.69,28213.52,210475.49,173033.89,Delivered
BOL000471,Hapag-Lloyd,Kuehne+Nagel,Home Depot Canada,Chemicals,20GP,3,Rotterdam,New York,CFR,2024-05-11,2024-06-14,2024-06-14,34,0,Yes,None,3131.58,9394.74,69580.33,76685.19,Delivered
BOL000472,ZIM,Panalpina,Hudson Bay,Furniture,40RF,3,Hong Kong,Seattle,EXW,2022-11-20,2022-12-19,2022-12-19,29,0,Yes,None,3933.75,11801.25,62316.98,398394.72,Delivered
BOL000473,Maersk,Expeditors,Aldo Group,Textiles,40GP,7,Busan,Toronto,DDP,2023-08-01,2023-08-27,2023-08-27,26,0,Yes,None,4042.64,28298.48,187105.9,443327.3,Delivered
BOL000474,CMA CGM,Sinotrans,Walmart Canada,Steel Products,40GP,1,Shenzhen,Houston,FOB,2022-07-02,2022-08-14,2022-08-14,43,0,Yes,None,2283.83,2283.83,14864.78,137477.31,Delivered
BOL000475,CMA CGM,Expeditors,Aldo Group,Food Products,40GP,4,Hamburg,Miami,CIF,2024-07-18,2024-09-01,2024-09-01,45,0,Yes,None,4300.39,17201.56,94833.94,140439.39,Delivered
BOL000476,HMM,Nippon Express,Walmart Canada,Toys,40GP,1,Busan,Houston,FOB,2023-08-03,2023-08-29,2023-08-29,26,0,Yes,None,1873.71,1873.71,11021.39,312663.32,Delivered
BOL000477,Maersk,Nippon Express,IKEA Canada,Electronics,40GP,7,Shenzhen,Montreal,EXW,2022-09-30,2022-11-03,2022-11-03,34,0,Yes,None,3421.28,23948.96,153512.76,135550.54,Delivered
BOL000478,HMM,Nippon Express,Hudson Bay,Furniture,20RF,7,Colombo,Toronto,EXW,2023-12-27,2024-01-12,2024-01-12,16,0,Yes,None,1919.28,13434.96,98546.19,191741.59,Delivered
BOL000479,Hapag-Lloyd,DSV,Empire Company,Chemicals,40RF,9,Ningbo,Seattle,DAP,2023-11-26,2024-01-08,2024-01-08,43,0,Yes,None,2401.84,21616.56,98904.04,163502.11,Delivered
BOL000480,Evergreen,DB Schenker,IKEA Canada,Furniture,40HC,8,Hamburg,Toronto,FOB,2023-06-25,2023-07-29,2023-07-29,34,0,Yes,None,3625.6,29004.8,67832.71,427986.49,Delivered
BOL000481,COSCO,Kuehne+Nagel,Sobeys,Toys,45HC,7,Hamburg,Houston,DAP,2022-03-15,2022-04-28,2022-04-28,44,0,Yes,None,1229.29,8605.03,179123.21,252506.28,Delivered
BOL000482,Evergreen,DB Schenker,Metro Inc,Steel Products,40HC,3,Kaohsiung,Halifax,FOB,2022-10-31,2022-11-21,2022-11-21,21,0,Yes,None,3889.33,11667.99,66745.63,413060.16,Delivered
BOL000483,ONE,DB Schenker,Shoppers Drug Mart,Steel Products,40RF,2,Shenzhen,Miami,FOB,2024-05-02,2024-05-20,2024-05-20,18,0,Yes,None,4083.26,8166.52,11194.26,343843.05,Delivered
BOL000484,Maersk,DB Schenker,Shoppers Drug Mart,Steel Products,40RF,8,Shanghai,Houston,DAP,2022-03-01,2022-03-20,2022-03-20,19,0,Yes,None,2480.01,19840.08,215757.08,301160.09,Delivered
BOL000485,Hapag-Lloyd,Kuehne+Nagel,Sport Chek,Furniture,40HC,1,Shenzhen,Miami,CIF,2023-03-09,2023-03-26,2023-03-26,17,0,Yes,None,3552.06,3552.06,17584.59,305122.85,Delivered
